id;rodada;data;mandante;visitante;vencedor
1;1;29/03/2003;Guarani;Vasco;Guarani
2;1;29/03/2003;Athletico-PR;Gremio;Athletico-PR
3;1;30/03/2003;Flamengo;Coritiba;Empate
4;1;30/03/2003;Goias;Paysandu;Empate
5;1;30/03/2003;Internacional;Ponte Preta;Empate
6;1;30/03/2003;Criciuma;Fluminense;Criciuma
7;1;30/03/2003;Juventude;Sao Paulo;Empate
8;1;30/03/2003;Fortaleza;Bahia;Empate
9;1;30/03/2003;Cruzeiro;Sao Caetano;Empate
10;1;30/03/2003;Vitoria;Figueirense;Empate
11;1;30/03/2003;Santos;Parana;Empate
12;1;30/03/2003;Corinthians;Atletico-MG;Atletico-MG
13;2;05/04/2003;Fluminense;Fortaleza;Empate
14;2;05/04/2003;Atletico-MG;Santos;Empate
15;2;05/04/2003;Coritiba;Internacional;Internacional
16;2;05/04/2003;Gremio;Guarani;Gremio
17;2;06/04/2003;Bahia;Flamengo;Flamengo
18;2;06/04/2003;Figueirense;Corinthians;Empate
19;2;06/04/2003;Paysandu;Vitoria;Vitoria
20;2;06/04/2003;Ponte Preta;Juventude;Ponte Preta
21;2;06/04/2003;Parana;Athletico-PR;Parana
22;2;06/04/2003;Sao Caetano;Criciuma;Sao Caetano
23;2;06/04/2003;Sao Paulo;Cruzeiro;Cruzeiro
24;2;06/04/2003;Vasco;Goias;Vasco
25;2;06/04/2003;Coritiba;Fluminense;Flamengo
26;3;12/04/2003;Santos;Figueirense;Santos
27;3;12/04/2003;Athletico-PR;Atletico-MG;Atletico-MG
28;3;12/04/2003;Corinthians;Paysandu;Corinthians
29;3;13/04/2003;Vitoria;Vasco;Vitoria
30;3;13/04/2003;Criciuma;Sao Paulo;Empate
31;3;13/04/2003;Fortaleza;Sao Caetano;Empate
32;3;13/04/2003;Juventude;Coritiba;Juventude
33;3;13/04/2003;Guarani;Parana;Guarani
34;3;13/04/2003;Goias;Gremio;Empate
35;3;13/04/2003;Cruzeiro;Ponte Preta;Cruzeiro
36;4;10/04/2003;Fluminense;Internacional;Fluminense
37;4;10/04/2003;Sao Paulo;Fortaleza;Sao Paulo
38;4;10/04/2003;Parana;Goias;Parana
39;4;12/04/2003;Flamengo;Cruzeiro;Flamengo
40;4;12/04/2003;Bahia;Juventude;Bahia
41;4;12/04/2003;Gremio;Vitoria;Gremio
42;4;12/04/2003;Atletico-MG;Guarani;Atletico-MG
43;4;12/04/2003;Figueirense;Athletico-PR;Empate
44;4;12/04/2003;Ponte Preta;Criciuma;Empate
45;4;12/04/2003;Sao Caetano;Flamengo;Empate
46;4;12/04/2003;Vasco;Corinthians;Empate
47;4;12/04/2003;Coritiba;Cruzeiro;Cruzeiro
48;5;19/04/2003;Bahia;Atletico-MG;Atletico-MG
49;5;19/04/2003;Sao Caetano;Gremio;Empate
50;5;19/04/2003;Flamengo;Santos;Santos
51;5;20/04/2003;Sao Paulo;Vasco;Sao Paulo
52;5;20/04/2003;Internacional;Corinthians;Internacional
53;5;20/04/2003;Criciuma;Guarani;Criciuma
54;5;20/04/2003;Juventude;Vitoria;Empate
55;5;20/04/2003;Fortaleza;Athletico-PR;Fortaleza
56;5;20/04/2003;Ponte Preta;Paysandu;Empate
57;5;20/04/2003;Cruzeiro;Goias;Cruzeiro
58;5;20/04/2003;Fluminense;Parana;Empate
59;5;21/04/2003;Coritiba;Figueirense;Coritiba
60;6;26/04/2003;Atletico-MG;Coritiba;Coritiba
61;6;26/04/2003;Parana;Bahia;Parana
62;6;26/04/2003;Vitoria;Internacional;Internacional
63;6;26/04/2003;Guarani;Cruzeiro;Empate
64;6;27/04/2003;Corinthians;Flamengo;Empate
65;6;27/04/2003;Goias;Juventude;Goias
66;6;27/04/2003;Figueirense;Ponte Preta;Empate
67;6;27/04/2003;Santos;Fortaleza;Santos
68;6;27/04/2003;Gremio;Fluminense;Fluminense
69;6;27/04/2003;Athletico-PR;Criciuma;Athletico-PR
70;6;27/04/2003;Paysandu;Sao Paulo;Paysandu
71;6;27/04/2003;Vasco;Sao Caetano;Vasco
72;7;03/05/2003;Flamengo;Vitoria;Flamengo
73;7;03/05/2003;Bahia;Gremio;Bahia
74;7;03/05/2003;Cruzeiro;Athletico-PR;Cruzeiro
75;7;04/05/2003;Fortaleza;Corinthians;Corinthians
